codmpio,depto,mpio,found,source,found2,comments
13442,BOLIVAR,MARIA LA BAJA,1535,BZ93,,
13468,BOLIVAR,MOMPOS,1537,BZ93,,
13549,BOLIVAR,PINILLOS,1840,BZ93,,
13600,BOLIVAR,RIO VIEJO,1806,BZ93,,
13667,BOLIVAR,SAN MARTIN DE LOBA,1650,BZ93,,
13673,BOLIVAR,SANTA CATALINA,1530,BZ93,,
13683,BOLIVAR,SANTA ROSA DEL SUR,1984,BZ93,,
13744,BOLIVAR,SIMITI,1537,BZ93,,
13760,BOLIVAR,SOPLAVIENTO,1885,BZ93,,
13780,BOLIVAR,TALAIGUA NUEVO,1806,BZ93,,
13836,BOLIVAR,TURBACO,1533,BZ93,,
13838,BOLIVAR,TURBANA,1534,BZ93,,
15001,BOYACA,TUNJA,1539,BZ93,,
15022,BOYACA,ALMEIDA,1906,BZ93,,
15047,BOYACA,AQUITANIA,1777,BZ93,,
15087,BOYACA,BELEN,1762,BZ93,,
15090,BOYACA,BERBEO,1744,BZ93,,
15104,BOYACA,BOYACA,1789,BZ93,,
15135,BOYACA,CAMPOHERMOSO,1823,BZ93,,
15162,BOYACA,CERINZA,1571,BZ93,,
15172,BOYACA,CHINAVITA,1822,BZ93,,
15183,BOYACA,CHITA,1535,BZ93,,
15185,BOYACA,CHITARAQUE,1777,BZ93,,
15187,BOYACA,CHIVATA,1600,BZ93,,
15204,BOYACA,COMBITA,1776,BZ93,,
15212,BOYACA,COPER,1776,BZ93,,
15215,BOYACA,CORRALES,1782,BZ93,,
15226,BOYACA,CUITIVA,1796,BZ93,,
15232,BOYACA,CHIQUIZA,1556,BZ93,,
15238,BOYACA,DUITAMA,1775,BZ93,,
15244,BOYACA,EL COCUY,1765,BZ93,,
15248,BOYACA,EL ESPINO,1791,BZ93,,
15272,BOYACA,FIRAVITOBA,1757,BZ93,,
15293,BOYACA,GACHANTIVA,1784,BZ93,,
15296,BOYACA,GAMEZA,1776,BZ93,,
15299,BOYACA,GARAGOA,1754,BZ93,,
15317,BOYACA,GUACAMAYAS,1763,BZ93,,
15322,BOYACA,GUATEQUE,1778,BZ93,,
15325,BOYACA,GUAYATA,1821,WEB.MUN,,
15332,BOYACA,GÜICAN,1756,BZ93,,
15362,BOYACA,IZA,1537,BZ93,,
15377,BOYACA,LABRANZAGRANDE,1761,BZ93,,
15380,BOYACA,LA CAPILLA,1773,BZ93,,
15401,BOYACA,LA VICTORIA,1956,BZ93,,
15403,BOYACA,LA UVITA,1758,BZ93,,
15407,BOYACA,VILLA DE LEYVA,1572,BZ93,,
15425,BOYACA,MACANAL,1807,WEB.MUN,,
15442,BOYACA,MARIPI,1770,WEB.MUN,,
15455,BOYACA,MIRAFLORES,1744,BZ93,,
15464,BOYACA,MONGUA,1796,BZ93,,
15466,BOYACA,MONGUI,1555,BZ93,,
15469,BOYACA,MONIQUIRA,1778,BZ93,,
15480,BOYACA,MUZO,1553,BZ93,,
15491,BOYACA,NOBSA,1796,BZ93,,
15494,BOYACA,NUEVO COLON,1776,BZ93,,
15500,BOYACA,OICATA,1776,BZ93,,
15507,BOYACA,OTANCHE,1960,BZ93,,
15511,BOYACA,PACHAVITA,1796,BZ93,,
15516,BOYACA,PAIPA,1537,BZ93,,
15518,BOYACA,PAJARITO,1825,BZ93,,
15531,BOYACA,PAUNA,1776,BZ93,,
15533,BOYACA,PAYA,1625,WEB.MUN,,*
15542,BOYACA,PESCA,1756,BZ93,,
15550,BOYACA,PISVA,1600,BZ93,,Today Pisba
15572,BOYACA,PUERTO BOYACA,1957,BZ93,,
15599,BOYACA,RAMIRIQUI,1754,BZ93,,
15646,BOYACA,SAMACA,1756,BZ93,,
15660,BOYACA,SAN EDUARDO,1914,BZ93,,
15664,BOYACA,SAN JOSE DE PARE,1776,BZ93,,
15667,BOYACA,SAN LUIS DE GACENO,1912,BZ93,,
15673,BOYACA,SAN MATEO,1773,BZ93,,
15681,BOLIVAR,SAN PABLO DE BORBUR,1875,BZ93,,
15693,BOYACA,SANTA ROSA DE VITERBO,1689,BZ93,,
15723,BOYACA,SATIVASUR,1776,BZ93,,
